movie_title,imdb_score,title_year,num_voted_users,num_critic_for_reviews,num_user_for_reviews,color,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,duration,gross,language,country,content_rating,budget,aspect_ratio
Meet Dave ,5,2008.0,31640,127.0,109.0,Color,Brian Robbins,48.0,Marc Blucas,973.0,Mike O'Malley,400.0,Shawn Christian,196.0,1865,791,90.0,11802056.0,English,USA,PG,60000000.0,1.85
Dark Water ,6,2005.0,44966,196.0,411.0,Color,Walter Salles,179.0,Dougray Scott,794.0,Camryn Manheim,329.0,Ariel Gade,87.0,1467,0,103.0,25472967.0,English,USA,PG-13,30000000.0,2.35
Edtv ,6,1999.0,35599,115.0,195.0,Color,Ron Howard,2000.0,Matthew McConaughey,11000.0,Adam Goldberg,1000.0,Clint Howard,1000.0,15275,641,122.0,22362500.0,English,USA,PG-13,55000000.0,1.85
Inkheart ,6,2008.0,60232,161.0,110.0,Color,Iain Softley,34.0,Brendan Fraser,3000.0,Stephen Graham,1000.0,Jamie Foreman,466.0,5329,0,106.0,17281832.0,English,Germany,PG,60000000.0,2.35
The Spirit ,5,2008.0,53864,223.0,290.0,Color,Frank Miller,436.0,Scarlett Johansson,19000.0,Jaime King,961.0,Louis Lombardi,437.0,20881,2000,103.0,19781879.0,English,USA,PG-13,60000000.0,2.35
Mortdecai ,6,2015.0,47320,181.0,188.0,Color,David Koepp,192.0,Johnny Depp,40000.0,Olivia Munn,2000.0,Ulrich Thomsen,280.0,42683,12000,107.0,7605668.0,English,UK,R,60000000.0,2.35
In the Name of the King: A Dungeon Siege Tale ,4,2007.0,38398,140.0,368.0,Color,Uwe Boll,892.0,Jason Statham,26000.0,Mike Dopud,368.0,Tania Saulnier,102.0,26564,0,156.0,4535117.0,English,Germany,PG-13,60000000.0,2.35
Beyond Borders ,6,2003.0,22570,54.0,156.0,Color,Martin Campbell,258.0,Angelina Jolie Pitt,11000.0,Teri Polo,708.0,Noah Emmerich,617.0,12947,0,127.0,4426297.0,English,USA,R,35000000.0,2.35
Xi you ji zhi: Sun Wukong san da Baigu Jing ,6,2016.0,1212,14.0,9.0,Color,Pou-Soi Cheang,3.0,Li Gong,879.0,Aaron Kwok,107.0,Eddie Peng,22.0,1026,426,119.0,,English,China,,68005000.0,2.35
The Great Raid ,7,2005.0,18209,81.0,183.0, Black and White,John Dahl,131.0,James Franco,11000.0,Clayne Crawford,298.0,Paolo Montalban,242.0,12133,0,132.0,10166502.0,Filipino,USA,R,80000000.0,2.35
Deadpool ,8,2016.0,479047,579.0,1058.0,Color,Tim Miller,84.0,Ryan Reynolds,16000.0,Ed Skrein,805.0,Stefan Kapicic,361.0,18239,117000,108.0,363024263.0,English,USA,R,58000000.0,2.35
Holy Man ,5,1998.0,16260,56.0,88.0,Color,Stephen Herek,65.0,Kelly Preston,743.0,Morgan Fairchild,730.0,Eric McCormack,440.0,2367,296,114.0,12065985.0,English,USA,PG,60000000.0,2.35
American Sniper ,7,2014.0,325264,490.0,916.0,Color,Clint Eastwood,16000.0,Bradley Cooper,14000.0,Leonard Roberts,962.0,Keir O'Donnell,318.0,16277,112000,133.0,350123553.0,English,USA,R,58800000.0,2.35
Goosebumps ,6,2015.0,47968,218.0,154.0,Color,Rob Letterman,11.0,Odeya Rush,2000.0,Dylan Minnette,1000.0,Ken Marino,543.0,5497,35000,103.0,80021740.0,English,USA,PG,58000000.0,2.35
"Sabrina, the Teenage Witch             ",7,,24420,20.0,94.0,Color,,,Nate Richert,870.0,Soleil Moon Frye,558.0,Caroline Rhea,271.0,2433,990,22.0,,English,USA,TV-G,3000000.0,1.33
Just Like Heaven ,7,2005.0,82819,142.0,263.0,Color,Mark Waters,70.0,Jon Heder,970.0,Ivana Milicevic,834.0,Willie Garson,512.0,2876,0,95.0,48291624.0,English,USA,PG-13,58000000.0,1.85
The Flintstones in Viva Rock Vegas ,4,2000.0,15517,57.0,85.0,Color,Brian Levant,32.0,Taylor Negron,1000.0,Mark Addy,891.0,Danny Woodburn,809.0,6299,500,90.0,35231365.0,English,USA,PG,60000000.0,1.85
Rambo III ,6,1988.0,92106,84.0,171.0,Color,Peter MacDonald,10.0,Sylvester Stallone,13000.0,Kurtwood Smith,1000.0,Richard Crenna,349.0,14574,2000,87.0,53715611.0,English,USA,R,63000000.0,2.35
Leatherheads ,6,2008.0,27664,186.0,120.0,Color,George Clooney,0.0,Robert Baker,142.0,Malcolm Goodwin,117.0,Matt Bushell,110.0,589,472,114.0,31199215.0,English,USA,PG-13,58000000.0,1.85
The Ridiculous 6 ,5,2015.0,27019,53.0,143.0,Color,Frank Coraci,153.0,Taylor Lautner,12000.0,Adam Sandler,11000.0,Jon Lovitz,11000.0,36167,0,119.0,,English,USA,TV-14,,2.35
Did You Hear About the Morgans? ,5,2009.0,29523,133.0,121.0,Color,Marc Lawrence,30.0,Michael Kelly,963.0,Kim Shaw,935.0,Kevin Brown,727.0,3150,0,103.0,29580087.0,English,USA,PG-13,58000000.0,2.35
The Internship ,6,2013.0,159931,246.0,281.0,Color,Shawn Levy,189.0,Josh Gad,1000.0,Jessica Szohr,847.0,Rob Riggle,839.0,5081,22000,125.0,44665963.0,English,USA,PG-13,58000000.0,2.35
Resident Evil: Afterlife ,6,2010.0,131447,253.0,410.0,Color,Paul W.S. Anderson,545.0,Milla Jovovich,14000.0,Boris Kodjoe,1000.0,Shawn Roberts,529.0,16098,19000,97.0,60128566.0,English,Germany,R,60000000.0,2.35
Red Tails ,6,2012.0,28807,144.0,273.0,Color,Anthony Hemingway,143.0,David Oyelowo,1000.0,Nate Parker,664.0,Tristan Mack Wilds,519.0,4416,0,125.0,49875589.0,English,USA,PG-13,58000000.0,2.35
Sex and the City             ,7,,80025,46.0,238.0,Color,,,Chris Noth,962.0,Kristin Davis,722.0,Cynthia Nixon,479.0,2558,0,30.0,,English,USA,TV-MA,,1.33
The Devil's Advocate ,8,1997.0,259519,117.0,431.0,Color,Taylor Hackford,138.0,Keanu Reeves,18000.0,Al Pacino,14000.0,Charlize Theron,9000.0,45271,11000,136.0,60984028.0,English,USA,R,57000000.0,2.35
That's My Boy ,6,2012.0,70681,157.0,198.0,Color,Sean Anders,51.0,Adam Sandler,11000.0,Leighton Meester,3000.0,Will Forte,622.0,16484,12000,116.0,36931089.0,English,USA,R,70000000.0,2.35
DragonHeart ,6,1996.0,78343,60.0,139.0,Color,Rob Cohen,357.0,Dennis Quaid,2000.0,Brian Thompson,663.0,Terry O'Neill,40.0,2710,0,103.0,51317350.0,English,USA,PG-13,57000000.0,2.35
After the Sunset ,6,2004.0,38298,117.0,147.0,Color,Brett Ratner,420.0,Salma Hayek,4000.0,Don Cheadle,3000.0,Chris Penn,455.0,9814,782,97.0,28328132.0,English,USA,PG-13,58000000.0,2.35
Ghost Rider: Spirit of Vengeance ,4,2011.0,87745,287.0,331.0,Color,Mark Neveldine,83.0,Nicolas Cage,12000.0,Spencer Wilding,1000.0,Christopher Lambert,1000.0,16121,18000,96.0,51774002.0,English,USA,PG-13,57000000.0,2.35
Captain Corelli's Mandolin ,6,2001.0,28099,96.0,220.0,Color,John Madden,108.0,Christian Bale,23000.0,Irene Papas,243.0,Mihalis Giannatos,58.0,23325,0,131.0,25528495.0,English,UK,R,57000000.0,2.35
Anger Management             ,7,,26992,26.0,54.0,Color,,,Barry Corbin,883.0,Noureen DeWulf,701.0,Brian Austin Green,676.0,4115,0,22.0,,English,USA,,,16.0
The Pacifier ,6,2005.0,66308,125.0,225.0,Color,Adam Shankman,163.0,Vin Diesel,14000.0,Brad Garrett,799.0,Tate Donovan,650.0,16884,0,95.0,113006880.0,English,Canada,PG,56000000.0,2.35
Walking Tall ,6,2004.0,53118,117.0,221.0,Color,Kevin Bray,10.0,Dwayne Johnson,12000.0,Ashley Scott,795.0,Michael Bowen,348.0,14146,0,86.0,45860039.0,English,USA,PG-13,56000000.0,2.35
Forrest Gump ,9,1994.0,1251222,149.0,1398.0, Black and White,Robert Zemeckis,0.0,Tom Hanks,15000.0,Siobhan Fallon Hogan,294.0,Sam Anderson,194.0,15700,59000,142.0,329691196.0,English,USA,PG-13,55000000.0,2.35
Alvin and the Chipmunks ,5,2007.0,57276,131.0,146.0,Color,Tim Hill,25.0,Jesse McCartney,1000.0,Beth Riesgraf,718.0,Matthew Gray Gubler,639.0,2847,0,92.0,217326336.0,English,USA,PG,60000000.0,1.85
Meet the Parents ,7,2000.0,260442,150.0,507.0,Color,Jay Roach,116.0,Robert De Niro,22000.0,Blythe Danner,713.0,Teri Polo,708.0,24286,0,108.0,166225040.0,English,USA,PG-13,55000000.0,1.85
Pocahontas ,7,1995.0,119675,92.0,216.0,Color,Mike Gabriel,12.0,Christian Bale,23000.0,Frank Welker,2000.0,Irene Bedard,752.0,26754,0,84.0,141600000.0,English,USA,G,55000000.0,1.78
Superman ,7,1978.0,126357,169.0,497.0,Color,Richard Donner,503.0,Marlon Brando,10000.0,Margot Kidder,593.0,Ned Beatty,467.0,12940,0,188.0,134218018.0,English,USA,PG,55000000.0,2.35
The Nutty Professor ,6,1996.0,86556,57.0,99.0,Color,Tom Shadyac,293.0,Jada Pinkett Smith,851.0,James Coburn,773.0,Dave Chappelle,744.0,3155,960,95.0,128769345.0,English,USA,PG-13,54000000.0,1.85
Hitch ,7,2005.0,244840,171.0,372.0,Color,Andy Tennant,72.0,Will Smith,10000.0,Michael Rapaport,975.0,Kevin Sussman,681.0,13426,0,118.0,177575142.0,English,USA,PG-13,70000000.0,2.35
George of the Jungle ,5,1997.0,56168,53.0,103.0,Color,Sam Weisman,39.0,Brendan Fraser,3000.0,Abraham Benrubi,562.0,Holland Taylor,458.0,4518,5000,92.0,105263257.0,English,USA,PG,55000000.0,1.85
American Wedding ,6,2003.0,162331,153.0,332.0,Color,Jesse Dylan,58.0,Alyson Hannigan,3000.0,Thomas Ian Nicholas,864.0,Fred Willard,729.0,5713,0,74.0,104354205.0,English,USA,R,55000000.0,2.35
Captain Phillips ,8,2013.0,323353,491.0,527.0,Color,Paul Greengrass,521.0,Tom Hanks,15000.0,Chris Mulkey,535.0,Michael Chernus,186.0,16281,65000,134.0,107100855.0,English,USA,PG-13,55000000.0,2.35
Date Night ,6,2010.0,127571,247.0,207.0,Color,Shawn Levy,189.0,Mila Kunis,15000.0,James Franco,11000.0,Steve Carell,7000.0,39822,0,101.0,98711404.0,English,USA,PG-13,55000000.0,2.35
Casper ,6,1995.0,85903,26.0,92.0,Color,Brad Silberling,52.0,Eric Idle,795.0,Fred Rogers,419.0,Cathy Moriarty,394.0,2638,0,100.0,100328194.0,English,USA,PG,50000000.0,1.85
The Equalizer ,7,2014.0,229574,292.0,436.0,Color,Antoine Fuqua,845.0,Denzel Washington,18000.0,Chloë Grace Moretz,17000.0,James Wilcox,683.0,37605,56000,132.0,101530738.0,English,USA,R,55000000.0,2.35
Maid in Manhattan ,5,2002.0,68417,114.0,242.0,Color,Wayne Wang,61.0,Bob Hoskins,5000.0,Frances Conroy,827.0,Natasha Richardson,708.0,7184,0,105.0,93815117.0,English,USA,PG-13,55000000.0,2.35
Crimson Tide ,7,1995.0,81026,82.0,194.0,Color,Tony Scott,12000.0,Denzel Washington,18000.0,Viggo Mortensen,10000.0,Ricky Schroder,665.0,30132,0,123.0,91400000.0,English,USA,R,53000000.0,2.35
The Pursuit of Happyness ,8,2006.0,338383,201.0,611.0,Color,Gabriele Muccino,125.0,Will Smith,10000.0,Kurt Fuller,617.0,James Karen,168.0,11036,32000,117.0,162586036.0,English,USA,PG-13,55000000.0,2.35
Flightplan ,6,2005.0,126746,231.0,600.0,Color,Robert Schwentke,124.0,Erika Christensen,931.0,Michael Irby,507.0,Haley Ramm,354.0,2287,0,98.0,89706988.0,English,USA,PG-13,55000000.0,2.35
Disclosure ,6,1994.0,36587,55.0,95.0,Color,Barry Levinson,272.0,Demi Moore,2000.0,Dylan Baker,812.0,Roma Maffia,383.0,3888,0,128.0,83000000.0,English,USA,R,55000000.0,2.35
City of Angels ,7,1998.0,94407,110.0,322.0,Color,Brad Silberling,52.0,Nicolas Cage,12000.0,Andre Braugher,702.0,Colm Feore,539.0,13905,0,114.0,78745923.0,English,Germany,PG-13,55000000.0,2.35
Kill Bill: Vol. 1 ,8,2003.0,735784,354.0,2105.0, Black and White,Quentin Tarantino,16000.0,David Carradine,926.0,Vivica A. Fox,890.0,Chiaki Kuriyama,640.0,3983,13000,111.0,70098138.0,English,USA,R,30000000.0,2.35
Bowfinger ,6,1999.0,56874,140.0,358.0,Color,Frank Oz,0.0,Robert Downey Jr.,21000.0,Adam Alexi-Malle,860.0,Jamie Kennedy,490.0,22458,0,85.0,66365290.0,English,USA,PG-13,55000000.0,1.37
Stargate SG-1             ,8,,63982,77.0,181.0,Color,,,Christopher Judge,847.0,Don S. Davis,440.0,Gary Jones,72.0,1359,0,44.0,,English,USA,TV-14,1400000.0,1.33
Kill Bill: Vol. 2 ,8,2004.0,512749,304.0,935.0, Black and White,Quentin Tarantino,16000.0,Vivica A. Fox,890.0,Michael Parks,387.0,Michael Bowen,348.0,1959,0,137.0,66207920.0,English,USA,R,30000000.0,2.35
Tango & Cash ,6,1989.0,75365,45.0,149.0,Color,Andrey Konchalovskiy,96.0,Sylvester Stallone,13000.0,Jack Palance,549.0,Brion James,403.0,14432,0,97.0,63408614.0,English,USA,R,55000000.0,2.35
Death Becomes Her ,6,1992.0,78974,49.0,173.0,Color,Robert Zemeckis,0.0,Bruce Willis,13000.0,Meryl Streep,11000.0,Isabella Rossellini,812.0,25599,8000,104.0,58422650.0,English,USA,PG-13,55000000.0,1.85
Shanghai Noon ,7,2000.0,96690,146.0,293.0,Color,Tom Dey,9.0,Xander Berkeley,485.0,Jason Connery,110.0,Kate Luyben,95.0,939,0,110.0,56932305.0,English,USA,PG-13,55000000.0,2.35
Executive Decision ,6,1996.0,40858,60.0,144.0,Color,Stuart Baird,53.0,Oliver Platt,1000.0,Joe Morton,780.0,J.T. Walsh,263.0,2916,0,133.0,68750000.0,English,USA,R,55000000.0,2.35
Mr. Popper's Penguins ,6,2011.0,67191,189.0,108.0,Color,Mark Waters,70.0,Madeline Carroll,1000.0,Ophelia Lovibond,549.0,Philip Baker Hall,497.0,2820,14000,94.0,68218041.0,English,USA,PG,55000000.0,1.85
The Forbidden Kingdom ,7,2008.0,88049,206.0,279.0,Color,Rob Minkoff,50.0,Jet Li,5000.0,Thomas McDonell,962.0,Michael Angarano,947.0,7247,0,104.0,25040293.0,English,USA,PG-13,55000000.0,2.35
Free Birds ,6,2013.0,18042,118.0,73.0,Color,Jimmy Hayward,39.0,Amy Poehler,1000.0,Carlos Ponce,591.0,Dan Fogler,562.0,3104,0,91.0,55747724.0,English,USA,PG,55000000.0,1.85
Alien 3 ,6,1992.0,207686,210.0,776.0,Color,David Fincher,21000.0,Charles S. Dutton,534.0,Holt McCallany,273.0,Paul McGann,243.0,1543,0,145.0,55473600.0,English,USA,R,50000000.0,2.35
Evita ,6,1996.0,29205,76.0,194.0,Color,Alan Parker,317.0,Andrea Corr,57.0,Jimmy Nail,40.0,Peter Polycarpou,34.0,164,0,135.0,49994804.0,English,USA,PG,55000000.0,2.35
Ronin ,7,1998.0,145422,149.0,572.0,Color,John Frankenheimer,287.0,Robert De Niro,22000.0,Natascha McElhone,2000.0,Michael Lonsdale,135.0,24270,0,122.0,41609593.0,English,UK,R,55000000.0,2.35
The Ghost and the Darkness ,7,1996.0,46239,62.0,155.0,Color,Stephen Hopkins,81.0,Tom Wilkinson,1000.0,Bernard Hill,416.0,Om Puri,163.0,1752,0,110.0,38553833.0,English,USA,R,55000000.0,2.35
Paddington ,7,2014.0,49207,224.0,174.0,Color,Paul King,17.0,Julie Walters,838.0,Matt Lucas,722.0,Sally Hawkins,594.0,3697,30000,95.0,76137505.0,English,UK,PG,55000000.0,2.35
The Watch ,6,2012.0,104066,265.0,207.0,Color,Akiva Schaffer,82.0,Will Forte,622.0,Nicholas Braun,591.0,Rosemarie DeWitt,537.0,2488,15000,102.0,34350553.0,English,USA,R,68000000.0,2.35
The Hunted ,6,2003.0,35830,135.0,321.0,Color,William Friedkin,607.0,Connie Nielsen,933.0,Jenna Boyd,518.0,Rex Linn,215.0,2248,0,94.0,34238611.0,English,USA,R,55000000.0,1.85
Instinct ,6,1999.0,27191,100.0,232.0,Color,Jon Turteltaub,226.0,Anthony Hopkins,12000.0,Maura Tierney,509.0,John Ashton,241.0,13406,0,126.0,34098563.0,English,USA,R,55000000.0,2.35
Stuck on You ,6,2003.0,44453,123.0,154.0,Color,Bobby Farrelly,101.0,Matt Damon,13000.0,Terence Bernie Hines,390.0,Seymour Cassel,327.0,14036,0,118.0,33828318.0,English,USA,PG-13,55000000.0,2.35
Semi-Pro ,6,2008.0,67005,164.0,119.0,Color,Kent Alterman,3.0,Will Ferrell,8000.0,Maura Tierney,509.0,Matt Walsh,490.0,10026,0,99.0,33472850.0,English,USA,R,55000000.0,2.35
The Pirates! Band of Misfits ,7,2012.0,36877,238.0,101.0,Color,Peter Lord,91.0,Salma Hayek,4000.0,Russell Tovey,796.0,Brian Blessed,591.0,6254,0,88.0,31051126.0,English,UK,PG,55000000.0,2.35
Changeling ,8,2008.0,199056,264.0,387.0,Color,Clint Eastwood,16000.0,Angelina Jolie Pitt,11000.0,Michael Kelly,963.0,Colm Feore,539.0,12840,14000,141.0,35707327.0,English,USA,R,55000000.0,2.35
Chain Reaction ,6,1996.0,40346,47.0,95.0,Color,Andrew Davis,99.0,Keanu Reeves,18000.0,Morgan Freeman,11000.0,Kevin Dunn,581.0,31014,1000,107.0,20550712.0,English,USA,PG-13,50000000.0,1.85
The Fan ,6,1996.0,38533,50.0,89.0,Color,Tony Scott,12000.0,Robert De Niro,22000.0,Kurt Fuller,617.0,Ellen Barkin,552.0,24618,0,116.0,18573791.0,English,USA,R,55000000.0,2.35
The Phantom of the Opera ,7,2004.0,96654,153.0,2047.0, Black and White,Joel Schumacher,541.0,Gerard Butler,18000.0,Minnie Driver,893.0,Miranda Richardson,530.0,20660,0,143.0,51225796.0,English,UK,PG-13,70000000.0,2.35
Elizabeth: The Golden Age ,7,2007.0,54787,202.0,216.0,Color,Shekhar Kapur,159.0,Eddie Redmayne,13000.0,Abbie Cornish,2000.0,Jordi Mollà,877.0,16899,0,114.0,16264475.0,English,UK,PG-13,55000000.0,1.85
Æon Flux ,6,2005.0,110614,178.0,532.0,Color,Karyn Kusama,45.0,Charlize Theron,9000.0,Sophie Okonedo,460.0,Paterson Joseph,352.0,10185,0,93.0,25857987.0,English,USA,PG-13,62000000.0,2.35
Gods and Generals ,6,2003.0,13215,84.0,497.0,Color,Ron Maxwell,33.0,Billy Campbell,789.0,Bruce Boxleitner,640.0,John Castle,67.0,1671,953,280.0,12870569.0,English,USA,PG-13,56000000.0,2.35
Turbulence ,5,1997.0,8983,44.0,84.0,Color,Robert Butler,0.0,Hector Elizondo,995.0,Lauren Holly,879.0,Jeffrey DeMunn,745.0,3952,316,100.0,11466088.0,English,USA,R,71000000.0,2.35
Imagine That ,6,2009.0,10417,93.0,39.0,Color,Karey Kirkpatrick,11.0,Stephen Root,939.0,Ronny Cox,605.0,Richard Schiff,506.0,3742,610,107.0,16088610.0,English,USA,PG,55000000.0,2.35
Muppets Most Wanted ,6,2014.0,24285,277.0,110.0,Color,James Bobin,33.0,Ty Burrell,3000.0,Tina Fey,2000.0,Hugh Bonneville,518.0,6089,10000,119.0,51178893.0,English,USA,PG,50000000.0,1.85
Thunderbirds ,4,2004.0,11148,76.0,229.0,Color,Jonathan Frakes,906.0,Sophia Myles,956.0,Philip Winchester,579.0,Brady Corbet,287.0,2260,437,95.0,6768055.0,English,UK,PG,57000000.0,1.85
Burlesque ,6,2010.0,61680,197.0,222.0,Color,Steve Antin,59.0,Eric Dane,2000.0,Peter Gallagher,828.0,David Walton,676.0,4315,19000,119.0,39440655.0,English,USA,PG-13,55000000.0,2.35
A Very Long Engagement ,8,2004.0,62607,186.0,239.0,Color,Jean-Pierre Jeunet,0.0,Denis Lavant,226.0,André Dussollier,52.0,Albert Dupontel,46.0,405,0,133.0,6167817.0,French,France,R,47000000.0,2.35
Lolita ,8,1962.0,67822,103.0,207.0, Black and White,Stanley Kubrick,0.0,James Mason,617.0,Shelley Winters,367.0,Lois Maxwell,177.0,1403,0,152.0,,English,UK,Not Rated,2000000.0,1.66
Eye See You ,5,2002.0,19706,66.0,142.0,Color,Jim Gillespie,13.0,Sylvester Stallone,13000.0,Tom Berenger,854.0,Charles S. Dutton,534.0,15803,448,96.0,,English,USA,R,55000000.0,2.35
Blade II ,7,2002.0,158267,224.0,559.0,Color,Guillermo del Toro,0.0,Norman Reedus,12000.0,Thomas Kretschmann,919.0,Tony Curran,845.0,15371,0,117.0,81645152.0,English,USA,R,54000000.0,1.85
Seven Pounds ,8,2008.0,232710,202.0,599.0,Color,Gabriele Muccino,125.0,Will Smith,10000.0,Rosario Dawson,3000.0,Madison Pettis,835.0,14727,26000,123.0,69951824.0,English,USA,PG-13,55000000.0,2.35
Bullet to the Head ,6,2012.0,39247,279.0,131.0,Color,Walter Hill,394.0,Sylvester Stallone,13000.0,Jason Momoa,11000.0,Jon Seda,565.0,25418,10000,92.0,9483821.0,English,USA,R,55000000.0,1.85
The Godfather: Part III ,8,1990.0,267980,110.0,545.0,Color,Francis Ford Coppola,0.0,Al Pacino,14000.0,Joe Mantegna,1000.0,Bridget Fonda,889.0,16949,0,170.0,66676062.0,English,USA,R,54000000.0,1.85
Elizabethtown ,6,2005.0,58658,190.0,495.0,Color,Cameron Crowe,488.0,Orlando Bloom,5000.0,Kirsten Dunst,4000.0,Judy Greer,2000.0,12700,0,123.0,26838389.0,English,USA,PG-13,57000000.0,1.85
"You, Me and Dupree ",6,2006.0,68417,136.0,195.0,Color,Anthony Russo,94.0,Todd Stashwick,277.0,Billy Gardell,245.0,Amanda Detmer,240.0,847,0,110.0,75604320.0,English,USA,PG-13,54000000.0,1.85
Superman II ,7,1980.0,76331,121.0,269.0,Color,Richard Lester,44.0,Margot Kidder,593.0,Ned Beatty,467.0,Jackie Cooper,420.0,2908,0,116.0,108200000.0,English,USA,PG,54000000.0,2.35
Gigli ,2,2003.0,41620,131.0,418.0,Color,Martin Brest,102.0,Todd Giebenhain,117.0,Lenny Venito,62.0,David Backus,43.0,286,2000,121.0,5660084.0,English,USA,R,54000000.0,2.35
All the King's Men ,6,2006.0,20740,127.0,178.0, Black and White,Steven Zaillian,234.0,Kate Winslet,14000.0,Anthony Hopkins,12000.0,Kevin Dunn,581.0,27614,0,128.0,7221458.0,English,Germany,PG-13,55000000.0,1.85
Shaft ,6,2000.0,58416,160.0,301.0,Color,John Singleton,309.0,Christian Bale,23000.0,Vanessa Williams,1000.0,Daniel von Bargen,577.0,26527,0,99.0,70327868.0,English,Germany,R,46000000.0,2.35
Anastasia ,7,1997.0,86347,78.0,191.0,Color,Don Bluth,383.0,Kirsten Dunst,4000.0,Kelsey Grammer,808.0,Bernadette Peters,753.0,6017,0,94.0,58297830.0,English,USA,G,50000000.0,2.35
Moulin Rouge! ,8,2001.0,224013,209.0,2319.0, Black and White,Baz Luhrmann,1000.0,Jim Broadbent,1000.0,Kylie Minogue,691.0,Richard Roxburgh,653.0,2601,10000,127.0,57386369.0,English,USA,PG-13,52500000.0,2.35
Domestic Disturbance ,6,2001.0,21283,98.0,190.0,Color,Harold Becker,17.0,Steve Buscemi,12000.0,Teri Polo,708.0,Matt O'Leary,303.0,13390,361,89.0,45207112.0,English,USA,PG-13,53000000.0,2.35
Black Mass ,7,2015.0,115216,391.0,289.0,Color,Scott Cooper,108.0,Johnny Depp,40000.0,Benedict Cumberbatch,19000.0,Adam Scott,3000.0,63769,44000,123.0,62563543.0,English,USA,R,53000000.0,2.35
Flags of Our Fathers ,7,2006.0,101221,279.0,415.0,Color,Clint Eastwood,16000.0,Paul Walker,23000.0,Chris Bauer,638.0,Tom McCarthy,310.0,24468,0,135.0,33574332.0,English,USA,R,90000000.0,2.35
Law Abiding Citizen ,7,2009.0,217480,216.0,429.0,Color,F. Gary Gray,473.0,Gerard Butler,18000.0,Leslie Bibb,1000.0,Michael Kelly,963.0,22517,21000,118.0,73343413.0,English,USA,R,50000000.0,2.35
Grindhouse ,8,2007.0,155496,250.0,532.0,Color,Robert Rodriguez,0.0,Quentin Tarantino,16000.0,Rosario Dawson,3000.0,Zoë Bell,1000.0,22186,0,189.0,25031037.0,English,USA,R,53000000.0,2.35
Beloved ,6,1998.0,6082,78.0,207.0,Color,Jonathan Demme,438.0,Oprah Winfrey,852.0,Kimberly Elise,637.0,Hill Harper,466.0,2397,853,172.0,22843047.0,English,USA,R,55000000.0,1.85
Lucky You ,6,2007.0,18310,106.0,63.0,Color,Curtis Hanson,161.0,Robert Downey Jr.,21000.0,Robert Duvall,3000.0,Kelvin Han Yee,681.0,26334,672,124.0,5755286.0,English,USA,PG-13,55000000.0,2.35
Catch Me If You Can ,8,2002.0,525801,194.0,667.0,Color,Steven Spielberg,14000.0,Leonardo DiCaprio,29000.0,Tom Hanks,15000.0,Jennifer Garner,3000.0,48153,15000,141.0,164435221.0,English,USA,PG-13,52000000.0,1.85
Zero Dark Thirty ,7,2012.0,216032,558.0,640.0,Color,Kathryn Bigelow,0.0,Jennifer Ehle,1000.0,Harold Perrineau,1000.0,Parker Sawyers,304.0,2759,39000,157.0,95720716.0,English,USA,R,40000000.0,1.85
The Break-Up ,6,2006.0,102167,183.0,483.0,Color,Peyton Reed,235.0,Jon Favreau,4000.0,John Michael Higgins,957.0,Ann-Margret,931.0,8315,0,106.0,118683135.0,English,USA,PG-13,52000000.0,1.85
Mamma Mia! ,6,2008.0,145974,238.0,611.0,Color,Phyllida Lloyd,58.0,Colin Firth,14000.0,Meryl Streep,11000.0,Julie Walters,838.0,26002,10000,108.0,143704210.0,English,USA,PG-13,52000000.0,2.35
Valentine's Day ,6,2010.0,95437,186.0,211.0,Color,Garry Marshall,0.0,Bradley Cooper,14000.0,Taylor Lautner,12000.0,Anne Hathaway,11000.0,45696,9000,125.0,110476776.0,English,USA,PG-13,52000000.0,1.85
The Dukes of Hazzard ,5,2005.0,66382,144.0,612.0,Color,Jay Chandrasekhar,422.0,Alice Greczyn,631.0,Jessica Simpson,534.0,Michael Weston,379.0,2297,0,107.0,80270227.0,English,USA,PG-13,50000000.0,2.35
The Thin Red Line ,8,1998.0,138941,156.0,1448.0,Color,Terrence Malick,0.0,Nick Stahl,648.0,Miranda Otto,568.0,Dash Mihok,463.0,1937,0,215.0,36385763.0,English,USA,R,52000000.0,2.35
The Change-Up ,6,2011.0,136680,215.0,149.0,Color,David Dobkin,71.0,Ryan Reynolds,16000.0,Olivia Wilde,10000.0,Mircea Monroe,634.0,28045,13000,118.0,37035845.0,English,USA,R,52000000.0,2.35
Man on the Moon ,7,1999.0,100743,140.0,549.0,Color,Milos Forman,869.0,Matt Price,134.0,Gerry Becker,27.0,Tom Dreesen,21.0,209,0,118.0,34580635.0,English,UK,R,52000000.0,2.35
Casino ,8,1995.0,333542,133.0,533.0,Color,Martin Scorsese,17000.0,Robert De Niro,22000.0,Don Rickles,721.0,Kevin Pollak,574.0,24183,11000,178.0,42438300.0,English,USA,R,52000000.0,2.35
From Paris with Love ,6,2010.0,97775,203.0,211.0,Color,Pierre Morel,180.0,Kasia Smutniak,211.0,Amber Rose Revah,135.0,Rebecca Dayan,75.0,488,0,92.0,23324666.0,English,France,R,52000000.0,2.35
